A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,G5,G6,G7,G8,H1,H3,H4,H5,H6,H7
1,1,1,2,2,3,2,2,3,2,5.7,58,3,1,3,2,1,1,2,2,2,0,3,3,3,3,2,2,2,1,1,0,1,3,2,2,2,2,2,2
1,2,1,2,2,3,3,3,3,2,5,70,3,2,3,2,1,1,2,0,0,0,2,2,2,3,2,2,0,0,0,0,2,2,0,0,0,1,1,2
1,1,2,2,1,3,1,2,3,2,5.4,52,1,0,1,1,1,0,2,0,1,0,0,0,0,2,1,1,0,0,0,1,2,1,1,0,0,0,0,1
1,1,1,2,2,3,1,3,3,2,5.11,79,2,1,3,1,1,1,2,2,2,0,2,1,1,2,0,0,0,0,0,0,3,0,1,1,0,1,0,1
1,2,1,2,2,3,1,1,4,4,4.11,45,4,1,3,4,2,1,3,0,2,1,0,0,0,0,1,1,0,0,0,0,3,0,2,0,0,1,1,3
1,1,1,2,2,3,2,1,3,2,5.5,58,2,2,3,4,3,1,2,0,2,0,2,2,1,3,1,2,0,0,0,1,2,1,1,0,1,1,2,3
1,1,1,1,1,3,2,3,3,4,5.1,64,1,1,3,2,3,1,2,2,3,0,2,2,2,3,3,2,0,0,0,0,3,0,0,1,1,1,1,0
1,2,1,2,2,3,1,3,3,4,5.3,68,2,2,3,2,4,2,2,0,1,0,1,2,1,3,3,1,1,0,2,2,3,0,0,1,2,2,1,1
1,2,1,1,2,3,1,1,4,2,5.2,51,2,1,3,4,3,2,2,2,1,0,3,3,3,4,1,1,0,0,2,0,1,2,2,3,2,2,2,3
1,2,1,2,2,3,1,1,4,4,5.6,61,1,1,2,3,1,1,1,2,2,0,3,2,2,3,1,1,0,0,2,1,2,1,2,1,1,2,2,2
1,2,2,2,2,3,1,3,4,4,5.4,70,1,1,3,4,3,1,2,0,3,0,2,2,1,3,1,1,0,0,0,1,3,2,2,0,0,0,1,3
1,2,1,2,2,4,2,1,3,2,5.6,65,4,3,3,4,3,1,2,0,0,0,3,3,3,4,3,3,2,0,1,3,1,3,3,3,3,0,3,3
